0 17.544005
1 17.547828
2 17.551130
3 17.592238
4 17.543389
5 17.495210
6 17.570731
7 17.569807
8 17.569750
9 17.425068
10 17.527903
11 17.569473
12 17.481301
13 17.523109
14 17.493027
15 17.477371
16 17.557798
17 17.569476
18 17.567400
19 17.553107
20 17.520673
21 17.570763
22 17.543228
23 17.366822
24 17.472530
25 17.492939
26 17.537442
27 17.589655
28 17.577424
29 17.580992
30 17.482081
31 17.603746
32 17.628128
33 17.587459
34 17.346226
35 17.542335
36 17.546858
37 17.576699
38 17.592814
39 17.600547
